שם השכונה,מספר מקלט,כתובת,שטח,סוג,נגישות,מס' נפשות,שייכות,קואורדינטות ציר x,קורדינטות ציר y,כתובות למפה,מינהל,שכונה,קטגוריה
קריית מנחם,מקלט ציבורי מספר 729,דהומיי 7,250,מקלט,,200,מינהל קהילתי גנים,31.75615742,35.1658768,"דהומיי 7, ירושלים",,,"קריית מנחם, מקלט ציבורי"
קריית מנחם,מקלט ציבורי מספר 730,דהומי 3,196,מקלט,,156,"בית הכנסת ""מגן דוד",31.75696437,35.16699617,"דהומיי 3, ירושלים",,,"קריית מנחם, מקלט ציבורי"
קריית מנחם,מקלט ציבורי מספר 732 - מקלט נגיש,קולומביה 7,160,מחסה - הכי מוגן שיש,מקלט נגיש,128,"עיריית ירושלים, אגף חירום וביטחון",31.75827574,35.1667934,"קולומביה 7, ירושלים",,,"קריית מנחם, מקלט ציבורי, מקלט נגיש"
קריית מנחם,מקלט ציבורי מספר 734 - מקלט נגיש,איסלנד 17,130,מקלט,מקלט נגיש,104,"עיריית ירושלים, אגף חירום וביטחון",31.75967074,35.16537727,"איסלנד 17, ירושלים",,,"קריית מנחם, מקלט נגיש, מקלט ציבורי"
קריית מנחם,מקלט ציבורי מספר 734א - מקלט נגיש,איסלנד 17,170,מקלט,מקלט נגיש,136,"עיריית ירושלים, אגף חירום וביטחון",31.759495,35.165392,"איסלנד 17, ירושלים",,,"קריית מנחם, מקלט נגיש, מקלט ציבורי"
קריית מנחם,מקלט ציבורי מספר 803 - מקלט נגיש,הנריטה סולד 17,113,מקלט,מקלט נגיש,90,"ישיבת ""דרכי חיים"" (חדר אוכל)",31.75954196,35.16691162,"הנרייטה סולד 10, ירושלים",,,"קריית מנחם, מקלט ציבורי, מקלט נגיש"
קריית מנחם,מקלט ציבורי מספר 827,מקסיקו 4,100,מקלט,,80,"""תנועת הנוער ""אריאל",31.75968527,35.16888777,"מקסיקו 4, ירושלים",,,"קריית מנחם, מקלט ציבורי"
קריית משה,מקלט ציבורי מספר 978,הרב צבי יהודה 13,100,מקלט,,80,מינהל קהילתי מיתרים,31.7875375,35.19555009,"יצחק בן דור 13, ירושלים",,,"קריית משה, מקלט ציבורי"
קריית שמואל,מקלט ציבורי מספר 667,"הפלמ""ח 22",180,מקלט,,144,"עיריית ירושלים, אגף חירום וביטחון",31.7674871,35.21104393,"הפלמ""ח 22, ירושלים",,,"קריית שמואל, מקלט ציבורי"
קריית שמואל,מקלט ציבורי מספר 971 - מקלט נגיש,"הפלמ""ח 16",100,מקלט,מקלט נגיש,80,מינהל קהילתי גינות העיר,31.76784826,35.2120205,"הפלמ""ח 16, ירושלים",,,"קריית שמואל, מקלט נגיש, מקלט ציבורי"
קריית משה,מקלט ציבורי מספר 977,גת 23,100​,מקלט,,80,מינהל קהילתי מיתרים,31.78641411,35.1973343,"גת 23, ירושלים",,,"קריית משה, מקלט ציבורי"
רוממה,מקלט ציבורי מספר 606,פנינה 1,80,מקלט,,64,"עיריית ירושלים, אגף חירום וביטחון",31.79562485,35.21447235,"פנינה 1, ירושלים",,,"רוממה, מקלט ציבורי"
רוממה,מקלט ציבורי מספר 750,זכרון יעקב 5,130,מקלט,,104,מינהל קהילתי רוממה,31.79611804,35.20083957,"זכרון יעקב 5, ירושלים",,,"רוממה, מקלט ציבורי"
רוממה,מקלט ציבורי מספר 933,"המ""ג 38",100,מקלט,,80,"""עמותת ""לב מלכה",31.79601192,35.1991455,"המ""ג 38, ירושלים",,,"רוממה, מקלט ציבורי"
רוממה,מקלט ציבורי מספר 975א,זיכרון יעקב 15,50,מקלט,,40,"עיריית ירושלים, אגף חירום וביטחון",31.79447697,35.2017481,"זכרון יעקב 15, ירושלים",,,"רוממה, מקלט ציבורי"
רוממה,מקלט ציבורי מספר 975ב,זיכרון יעקב 17,50,מקלט,,40,"""עמותת ""דרכי מרים",31.79422545,35.20202255,"זכרון יעקב 17, ירושלים",,,"רוממה, מקלט ציבורי"
רוממה,מקלט ציבורי מספר 975ג,זכרון יעקב 19,50,מקלט,,40,"""עמותת ""לב מלכה",31.79395477,35.20219002,"זכרון יעקב 19, ירושלים",,,"רוממה, מקלט ציבורי"
רוממה,מקלט ציבורי מספר 975ד,זכרון יעקב 21,50,מקלט,,40,"עיריית ירושלים, אגף חירום וביטחון",31.79353551,35.20219698,"זכרון יעקב 21, ירושלים",,,"רוממה, מקלט ציבורי"
רוממה,מקלט ציבורי מספר 979 - מקלט נגיש,זכרון יעקב 10,100,מקלט,מקלט נגיש,80,"""בית כנסת ""חניכי הישיבות רוממה",31.79507382,35.20108273,"זכרון יעקב 10, ירושלים",,,"רוממה, מקלט נגיש, מקלט ציבורי"
רחביה,מקלט ציבורי מספר 658,אבן עזרא 13,80,מקלט,,64,"עיריית ירושלים, אגף חירום וביטחון",31.7756014,35.2141171,"אבן עזרא 13, ירושלים",,,"רחביה, מקלט ציבורי"
רחביה,מקלט ציבורי מספר 659,אבן גבירול 15,160,מקלט,,128,"עיריית ירושלים, אגף חירום וביטחון",31.77511106,35.21539432,"אבן גבירול 15, ירושלים",,,"רחביה, מקלט ציבורי"
רחביה,מקלט ציבורי מספר 809,"רשב""א 9",90,מקלט,,72,"עיריית ירושלים, אגף חירום וביטחון",31.77325644,35.21072878,"רשב""א 9, ירושלים",,,"רחביה, מקלט ציבורי"
רחביה,מקלט ציבורי מספר 810,עובדיה מברטנורה 9,150,מקלט,,120,"עיריית ירושלים, אגף חירום וביטחון",31.77326342,35.21668807,"עובדיה מברטנורה 9, ירושלים",,,"רחביה, מקלט ציבורי"
רחביה,מקלט ציבורי מספר 816,עזה 50,120,מקלט,,96,העמותה לניצולי שואה ירושלים,31.77160326,35.21238599,"דרך עזה 50, ירושלים",,,"רחביה, מקלט ציבורי"
רחביה,מקלט ציבורי מספר 835,ארלוזורוב 18,190,מקלט,,152,"עיריית ירושלים, אגף חירום וביטחון",31.77226266,35.21589869,"ארלוזורוב 18, ירושלים",,,"רחביה, מקלט ציבורי"
רחביה,מקלט ציבורי מספר 972,אלחריזי 26,100,מקלט,,80,"עיריית ירושלים, אגף תרבות, בית יעל",31.77628089,35.2142244,"אלחריזי 26, ירושלים",,,"רחביה, מקלט ציבורי"
שמואל הנביא,מקלט ציבורי מספר 604,חכם שמעון 8,100,מקלט,,80,"עיריית ירושלים, אגף חירום וביטחון",31.79541215,35.2188737,"הרב שמעון חכם 8, ירושלים",,,"שמואל הנביא, מקלט ציבורי"
שמואל הנביא,מקלט ציבורי מספר 616,שמואל הנביא 61,100,מקלט,,80,"עיריית ירושלים, אגף חירום וביטחון",31.79249233,35.22309569,"שמואל הנביא 61, ירושלים‭",,,"שמואל הנביא, מקלט ציבורי"
שמואל הנביא,מקלט ציבורי מספר 618 - מקלט נגיש,שמואל הנביא 66,110,מקלט,מקלט נגיש,137,"""בית הכנסת ""אוהלי יעקב",31.79286073,35.22315682,"שמואל הנביא 66, ירושלים",,,"שמואל הנביא, מקלט ציבורי, מקלט נגיש"
שמואל הנביא,מקלט ציבורי מספר 957,אבינדב 19,450,מקלט,,360,"""בית כנסת ""אגודת אור הצפון",31.79461697,35.2189116,"אבינדב 19, ירושלים",,,"שמואל הנביא, מקלט ציבורי"
תלפיות,מקלט ציבורי מספר 679,דרך חברון 59,200,מקלט,,160,"עיריית ירושלים, אגף חירום וביטחון",31.76343666,35.2256433,"דרך חברון 59, ירושלים",,,"תלפיות ארנונה, מקלט ציבורי"
תלפיות,מקלט ציבורי מספר 688,אפרתה 18,200,מקלט,,160,"עיריית ירושלים, אגף חירום וביטחון",31.75254609,35.22182315,"אפרתה 18, ירושלים",,,"תלפיות ארנונה, מקלט ציבורי"
תלפיות,מקלט ציבורי מספר 689,בן גבריאל 10,90,מקלט,,72,"עיריית ירושלים, אגף חירום וביטחון",31.74909478,35.2200234,"בן גבריאל 10, ירושלים",,,"תלפיות ארנונה, מקלט ציבורי"
תלפיות,מקלט ציבורי מספר 690,לייב יפה 1,240,מקלט,,192,"עיריית ירושלים, אגף חירום וביטחון",31.74919744,35.2234383,"לייב יפה 1, ירושלים",,,"תלפיות ארנונה, מקלט ציבורי"
תלפיות,מקלט ציבורי מספר 691,דרך בית לחם 93,440,מקלט,,352,"עיריית ירושלים, אגף חירום וביטחון",31.75208777,35.21891075,"דרך בית לחם 93, ירושלים",,,"תלפיות ארנונה, מקלט ציבורי"
תלפיות,מקלט ציבורי מספר 940,שלום יהודה 17,100,מקלט,,80,"""תנועת נוער ""עזרא",31.75119887,35.22008993,"אברהם שלום יהודה 17, ירושלים",,,"תלפיות ארנונה, מקלט ציבורי"
קרית יובל,מקלט ציבורי מספר 991,אברהם שרון 2,100,מקלט,,80,עמותת מתחזקים לבורא עולם,31.764072268494978,35.17290601480339,"אברהם שרון 2, ירושלים",קרית היובל - 568,יובלים,"קריית יובל, מקלט ציבורי"
,חניון בית אביחי,המלך ג'ורג' 44,מחסה ציבורי,רחביה,,,,31.777267365823803,35.215791827115616,"המלך ג'ורג' 44, ירושלים",,,"רחביה, חניון מוגן תת קרקעי"
,חניון בית בנית,האומן 14,מחסה ציבורי,תלפיות,,,,31.750919531149275,35.209708247427,"האומן 14, ירושלים",,,"תלפיות ארנונה, חניון מוגן תת קרקעי"
,חניון בית יהב,ירמיהו 80,מחסה ציבורי,רוממה,,,,31.79133351411927,35.20028136091587,"ירמיהו 80, ירושלים",,,"רוממה, חניון מוגן תת קרקעי"
,חניון בניין כלל,יפו 97 /אגריפס 42,מחסה ציבורי,מרכז העיר,,,,31.784212712816448,35.21517978975263,"יפו 97 /אגריפס 42, ירושלים",,,"מרכז העיר, חניון מוגן תת קרקעי"
,חניון הגן הטכנולוגי 4,"הגן הטכנולוגי, דרך אגודת ספורט הפועל 2",מחסה ציבורי,מנחת - מלחה,,,,31.750026940030864,35.18600107453311,"הגן הטכנולוגי, דרך אגודת ספורט הפועל 2, ירושלים",,,"מלחה, חניון מוגן תת קרקעי"
,חניון הגן הטכנולוגי בניין 1- 2 -בנין המגדל,אגודת הפועל 2,מחסה ציבורי,מנחת - מלחה,,,,31.750036063320643," 35.185990347427136","אגודת הפועל 2, ירושלים",,,"מלחה, חניון מוגן תת קרקעי"
,חניון הגן הטכנולוגי בניין 5,"הגן הטכנולוגי, דרך אגודת ספורט הפועל 2",מחסה ציבורי,מנחת - מלחה,,,,31.750063433170816,35.186011803368515,"הגן הטכנולוגי, דרך אגודת ספורט הפועל 2, ירושלים",,,"מלחה, חניון מוגן תת קרקעי"
,חניון הגן הטכנולוגי בניינים 8-9,"הגן הטכנולוגי, דרך אגודת ספורט הפועל 2, ירושלים",מחסה ציבורי,מנחת - מלחה,,,,31.749565159736868,35.1866391712211,"הגן הטכנולוגי, דרך אגודת ספורט הפועל 2, ירושלים",,,"מלחה, חניון מוגן תת קרקעי"
,חניון התחנה המרכזית,יפו 224,מחסה ציבורי,רוממה,,,,31.78955542912993,35.20335428235088,"יפו 224, ירושלים",,,"רוממה, חניון מוגן תת קרקעי"
,חניון חלונות ירושלים,אגריפס 40,מחסה ציבורי,מחנה יהודה,,,,31.78433562250371,35.21431678380738,"אגריפס 40, ירושלים",,,"מרכז העיר, חניון מוגן תת קרקעי"
,חניון A6 שניאור פלג צפון,שניאור פלג 1,מחסה ציבורי - בבניין מגורים,ארנונה החדשה,,,,31.752500581278603,35.224593974533065,"שניאור פלג 1, ירושלים",,,"ארנונה, חניון מוגן תת קרקעי"
,חניון A7 שניאור פלג דרום,שניאור פלג 2,מחסה ציבורי - בבניין מגורים,ארנונה החדשה,,,,31.752481012094652,35.22462300116668,"שניאור פלג 2, ירושלים",,,"ארנונה, חניון מוגן תת קרקעי"
,חניון אורנים,כנפי נשרים 66,מחסה ציבורי,גבעת שאול,,,,31.787355186040934,35.18123848975243,"כנפי נשרים 66, ירושלים",,,"גבעת שאול, חניון מוגן תת קרקעי"
,חניון בונהבנטורה,אנצ'ו בונהונטורה 5,מחסה ציבורי - בבניין מגורים,ארנונה החדשה,,,,31.75326482559817,35.22716150336833,"אנצ'ו בונהונטורה 5, ירושלים",,,"ארנונה, חניון מוגן תת קרקעי"
,חניון בית השנהב,בית הדפוס 12,מחסה ציבורי,גבעת שאול,,,,31.78660704819047,35.188391874532066,"בית הדפוס 12, ירושלים",,,"גבעת שאול, חניון מוגן תת קרקעי"
,חניון בנייני האומה,"שדרות שז""ר 1",מחסה ציבורי,קריית האומה,,,,31.786512987782356,35.20231020336738,"שדרות שז""ר 1, ירושלים",,,"קריית האומה, חניון מוגן תת קרקעי"
,חניון בצלאל,"זמורה 1, ירושלים",מחסה ציבורי,מרכז העיר,,,,31.782268982537506,35.22271962883541,"ישראל זמורה 1, ירושלים",,,"מרכז העיר, חניון מוגן תת קרקעי"
,חניון גד טדסקי,גד טְדֶסְקִי 5,מחסה ציבורי - בבניין מגורים,ארנונה החדשה,,,,31.7523542508316,35.22681197453305,"גד טְדֶסְקִי 5, ירושלים",,,"ארנונה, חניון מוגן תת קרקעי"
,חניון גולדה (מובילאיי),שדרות גולדה מאיר מערבית לרח' שלמה הלוי,מחסה ציבורי,הר חוצבים,,,,31.80004470123445,35.208925218991325,"שדרות גולדה מאיר מערבית לרח' שלמה הלוי, ירושלים",,,"הר חוצבים, חניון מוגן תת קרקעי"
,חניון גני ציון,אליעזר הגדול 38,מחסה ציבורי - בבניין מגורים,קטמון,,,,31.75377988676469,35.20585640336847,"אליעזר הגדול 38, ירושלים",,,"קטמון, חניון מוגן תת קרקעי"
,חניון דוד ילין,מעגל בית המדרש 7,מחסה ציבורי,בית הכרם,,,,31.78218805785295,35.19070503220292,"מעגל בית המדרש 7, ירושלים",,,"בית הכרם, חניון מוגן תת קרקעי"
,חניון דונה,בית הדפוס 20,מחסה ציבורי,גבעת שאול,,,,31.786671909279008,35.18618533469712,"בית הדפוס 20, ירושלים",,,"גבעת שאול, חניון מוגן תת קרקעי"
,חניון דרך בית לחם,דרך בית לחם 66,מחסה ציבורי - בבניין מגורים,תלפיות,,,,31.759238754683796,35.22167707453277,"דרך בית לחם 66, ירושלים",,,"תלפיות ארנונה, חניון מוגן תת קרקעי"
,חניון התיאטרון,פרופ' יעקב שסקין,מחסה ציבורי,טלביה,,,,31.767992007875165,35.21644583582216,"פרופ' יעקב שסקין, ירושלים",,,"טלביה - קוממיות, חניון מוגן תת קרקעי"
,חניון חלץ,חלץ 8,מחסה ציבורי - בבניין מגורים,בקעה,,,,31.757161504421042,35.21648405025352,"חלץ 8, ירושלים",,,"בקעה, חניון מוגן תת קרקעי"
,חניון טהון,יעקב טהון 13,מחסה ציבורי - בבניין מגורים,קריית יובל,,,,31.76159358347746,35.17523615025252,"יעקב טהון 13, ירושלים",,,"קריית יובל, חניון מוגן תת קרקעי"
,חניון יד שרה,ירמיהו 35,מחסה ציבורי,רוממה,,,,31.790820121010785,35.20231673220263,"ירמיהו 35, ירושלים",,,"רוממה, חניון מוגן תת קרקעי"
,חניון יצחק בן דור - מזרח,יצחק בן דור 3,מחסה ציבורי - בבניין מגורים,ארנונה החדשה,,,,31.754180046332795,35.22718755919138,"יצחק בן דור 3, ירושלים",,,"ארנונה, חניון מוגן תת קרקעי"
,חניון מגדל הנשרים,בית הדפוס 32,מחסה ציבורי,גבעת שאול,,,,31.78669686771139,35.18086268802584,"בית הדפוס 32, ירושלים",,,"גבעת שאול, חניון מוגן תת קרקעי"
,חניון מגדלי הבירה,ירמיהו 39,מחסה ציבורי,רוממה,,,,31.79087479802377,35.20215290336726,"ירמיהו 39, ירושלים",,,"רוממה, חניון מוגן תת קרקעי"
,חניון מוזיאון הסובלנות,הלל 33,מחסה ציבורי,מרכז העיר,,,,31.78027286168596,35.21948340521556,"הלל 33, ירושלים",,,"מרכז העיר, חניון מוגן תת קרקעי"
,חניון ממילא,יצחק קריב 6,מחסה ציבורי,ממילא,,,,31.777341283715252,35.2249100757418,"יצחק קריב 6, ירושלים",,,"ממילא, חניון מוגן תת קרקעי"
,חניון מנורה,מנורה 3,מחסה ציבורי,מרכז העיר,,,,31.78040776294547,35.21281430336758,"מנורה 3, ירושלים",,,"מרכז העיר, חניון מוגן תת קרקעי"
,חניון מול מצודת דוד,יצחק קריב 7,מחסה ציבורי - בבניין מגורים,ממילא,,,,31.77733144803239," 35.22514884548831","יצחק קריב 7, ירושלים",,,"ממילא, חניון מוגן תת קרקעי"
,חניון משרד החינוך,דבורה הנביאה 2,מחסה ציבורי,מרכז העיר,,,,31.78449857399372,35.22397310008403,"דבורה הנביאה 2, ירושלים",,,"מרכז העיר, חניון מוגן תת קרקעי"
,חניון ספרא,יפו 26 /שבטי ישראל 7,מחסה ציבורי,מרכז העיר,,,,31.77993978283809,35.22492106277103,"יפו 26 /שבטי ישראל 7, ירושלים",,,"מרכז העיר, חניון מוגן תת קרקעי"
,חניון צ'ילה,חניון צ'ילה 6,מחסה ציבורי - בבניין מגורים,קרית היובל,,,,"31.761571183776763 ",35.17173718987439,"חניון צ'ילה 6, ירושלים",,,"קריית יובל, חניון מוגן תת קרקעי"
,חניון רב שפע,שמגר 16,מחסה ציבורי,רוממה,,,,31.794966726893914,35.20843918987339,"שמגר 16, ירושלים",,,"רוממה, חניון מוגן תת קרקעי"
,חניון רג'ואן,עליאש 6,מחסה ציבורי,מרכז העיר,,,,31.781813737867314,35.2157816492801,"עליאש 6, ירושלים",,,"מרכז העיר, חניון מוגן תת קרקעי"
,חניון שמאי 10,שמאי 10,מחסה ציבורי,מרכז העיר,,,,31.781154296556917,35.21851141686136,"שמאי 10, ירושלים",,,"מרכז העיר, חניון מוגן תת קרקעי"
,חניון שמאי 21,שמאי 21,מחסה ציבורי,מרכז העיר,,,,31.781422763496103,35.21891563581359,"שמאי 21, ירושלים",,,"מרכז העיר, חניון מוגן תת קרקעי"
,חניון ירושלים זהב,רבי עקיבא 14,מחסה ציבורי,מרכז העיר,,,,31.779397304590315,35.21787461858919,"רבי עקיבא 14, ירושלים",,,"מרכז העיר, חניון מוגן תת קרקעי"
,חניון לב תלפיות,האומן 17,מחסה ציבורי,תלפיות,,,,31.75062443885658,35.20910844928173,"האומן 17, ירושלים",,,"תלפיות ארנונה, חניון מוגן תת קרקעי"
,חניון מגדל העיר,בן יהודה 34,מחסה ציבורי,מרכז העיר,,,,31.781451035075712,35.21568540009222,"בן יהודה 34, ירושלים",,,"מרכז העיר, חניון מוגן תת קרקעי"
,חניון מגדלי ירושלים,רבי עקיבא 6,מחסה ציבורי,מרכז העיר,,,,31.779959182790243,35.21797370509829,"רבי עקיבא 6, ירושלים",,,"מרכז העיר, חניון מוגן תת קרקעי"
,חניון מלון עץ הזית,סנט ג'ורג' 26,מחסה ציבורי,שמעון הצדיק,,,,31.790028541779872," 35.2287387627705","סנט ג'ורג' 26, ירושלים",,,"מרכז העיר, חניון מוגן תת קרקעי"
,חניון מסילת דויד,מסילת ישרים 17,מחסה ציבורי,מחנה יהודה,,,,31.78267031342805,35.21523358609901,"מסילת ישרים 17, ירושלים",,,"מרכז העיר, חניון מוגן תת קרקעי"
,חניון שוקניון,אגריפס 88,מחסה ציבורי,מחנה יהודה,,,,31.785399089197544,35.21013558975252,"אגריפס 88, ירושלים",,,"מרכז העיר, חניון מוגן תת קרקעי"
,חניון שערי העיר,יפו 216,מחסה ציבורי,רוממה,,,,31.78974972250061,35.205325467035486,"יפו 216, ירושלים",,,"מרכז העיר, חניון מוגן תת קרקעי"
,קדמה,בר יוחאי 5,מקלט,,על יסודי,,,31.75371688,35.1983481,"בר יוחאי 5, ירושלים",,,"גוננים - קטמונים, מקלט בבית ספר"
,ת.ת מורשה,שלמה אלקבץ 52,מקלט,,על יסודי,,,31.78939234,35.1903285,"שלמה אלקבץ 52, ירושלים",,,"גבעת שאול, מקלט בבית ספר"
,בית ספר אשבאל אלקודס,אל-ופא' סמ4 1,,,יסודי,,,31.77195649883001,35.251005982526976,"אל-ופא' סמ4 1, ירושלים",,,"א-טור, מקלט בבית ספר"
,בית ספר סלואן יסודי בנות,דרך יריחו 157,,,יסודי,,,31.773562714611426," 35.2485671357059","דרך יריחו 157, ירושלים",,,"א-טור, מקלט בבית ספר"
,אלתורי תיכון בנות,"דיר אבו טור, ירושלים",,,על יסודי,,,31.77459436808814,35.2147399682465,"דיר אבו טור, ירושלים",,,"אבו תור, מקלט בבית ספר"
,"אורות בתלפיות בנות - ""נפש",מבוא סם שפיגל 6,,,יסודי,,,31.75469225367416,35.216524845485814,"מבוא סם שפיגל 6, ירושלים",,,"תלפיות ארנונה, מקלט בבית ספר"
,בית ספר בית מלכה,מלכי ישראל 38,,,על יסודי,,,31.791118061911174,35.21069217301508,"מלכי ישראל 38, ירושלים",,,"הבוכרים - בית ישראל, מקלט בבית ספר"
,בית ספר בית מלכה,לואיס ברנדייס 2,,,יסודי,,,31.792145440323434,35.210260484656615,"לואיס ברנדייס 2, ירושלים",,,"הבוכרים - בית ישראל, מקלט בבית ספר"
,בית ספר בנות סקווירא,"רש""י 60",,,יסודי,,,31.788252384172907,35.20990761932269,"רש""י 60, ירושלים",,,"הבוכרים - בית ישראל, מקלט בבית ספר"
,אולפנא צביה,ירמיהו 5,,,על יסודי,,,31.792248790772803,35.21186316880103,"ירמיהו 5, ירושלים",,,"הבוכרים - בית ישראל, מקלט בבית ספר"
,בית ספר יקירי ירושלים,הטורים 31,,,יסודי,,,31.790877668029854,35.210607784161084,"הטורים 31, ירושלים",,,"הבוכרים - בית ישראל, מקלט בבית ספר"
,בית ספר יקירי ירושלים,מלכי ישראל 77,,,על יסודי,,,31.790501044338438,35.209754490125846,"מלכי ישראל 77, ירושלים",,,"הבוכרים - בית ישראל, מקלט בבית ספר"
,בית ספר למען אחי - שערי תורה,הטורים 36,,,יסודי,,,31.79129929598881,35.210676261410704,"הטורים 36, ירושלים",,,"הבוכרים - בית ישראל, מקלט בבית ספר"
,בית ספר מכון הברכה,החשמונאים 6,,,על יסודי,,,31.78996077721195,35.20984060696127,"החשמונאים 6, ירושלים",,,"הבוכרים - בית ישראל, מקלט בבית ספר"
,אוהל מועד,מ.ד. קאסוטו 16,,,על יסודי,,,31.762680169505593,35.18719373199144,"מ.ד. קאסוטו 16, ירושלים",,,"בית וגן, מקלט בבית ספר"
,בית ספר רינת התורה (ירים משה),מלכי ישראל 36,,,על יסודי,,,31.79099403996967,35.21114623384955,"מלכי ישראל 36, ירושלים",,,"הבוכרים - בית ישראל, מקלט בבית ספר"
,"בית ספר מ""מ ישראלי בית הכרם",מעגל בית המדרש 7,,,יסודי,,,31.782096856648515,35.19073722081352,"מעגל בית המדרש 7, ירושלים",,,"בית הכרם, מקלט בבית ספר"
,"בית ספר מ""מ יפה נוף משלב למנהיגות",התומר 5,,,יסודי,,,31.77967742233026,35.186453847798205,"התומר 5, ירושלים",,,"בית הכרם, מקלט בבית ספר"
,"בית ספר מ""מ חטיבה צעירה דוד ילין",שדרות הרצל 89,,,יסודי,,,31.782232936264823,35.18991474779805,"שדרות הרצל 89, ירושלים",,,"בית הכרם, מקלט בבית ספר"
,"בית ספר ממ""ד דרור",ח.ד. שחר 19,,,יסודי,,,31.78036179766806,35.19447803999045,"ח.ד. שחר 19, ירושלים",,,"בית הכרם, מקלט בבית ספר"
,בית ספר זיו ומרקס,שדרות הרצל 137,,,על יסודי,,,31.777612535771645,35.186352522855096,"שדרות הרצל 137, ירושלים",,,"בית הכרם, מקלט בבית ספר"
,בית ספר אור ברוך,תורה ועבודה 8,,,על יסודי,,,31.76717474945461,35.181404338111555,"תורה ועבודה 8, ירושלים",,,"בית וגן, מקלט בבית ספר"
,אולפנא תורנית לבנות - חורב,דובדבני ברוך 32,,,על יסודי,,,31.76196102799741,35.191814224619634,"דובדבני ברוך 32, ירושלים",,,"בית וגן, מקלט בבית ספר"
,בית ספר אחיעזר - (מוצפי),הרב מוצפי סלמן 4,,,יסודי,,,31.761808783626673,35.186974485568435,"הרב מוצפי סלמן 4, ירושלים",,,"בית וגן, מקלט בבית ספר"
,בית ספר בית יעקב בית וגן,שערי תורה 2,,,יסודי,,,31.766647866665306,35.18232494232831,"שערי תורה 2, ירושלים",,,"בית וגן, מקלט בבית ספר"
,בית ספר בית יעקב גילה,תורה ועבודה 2,,,יסודי,,,31.76828180471385,35.182598442328306,"תורה ועבודה 2, ירושלים",,,"בית וגן, מקלט בבית ספר"
,בית ספר בנות בית יעקב המרכזי,הפסגה 57,,,על יסודי,,,31.765546896534126,35.18525047514458,"הפסגה 57, ירושלים",,,"בית וגן, מקלט בבית ספר"
,"חט""ב ביניים יאיר של ישיבת נתיב מאיר",הפסגה 7,,,על יסודי,,,31.77071416304641,35.18263610547057,"הפסגה 7, ירושלים",,,"בית וגן, מקלט בבית ספר"
,בית ספר הימלפרב,תורה ועבודה 6,,,על יסודי,,,31.767599955450134,35.181271803980266,"תורה ועבודה 6, ירושלים",,,"בית וגן, מקלט בבית ספר"
,ישיבת קרית נוער,הרב פרנק 20,,,על יסודי,,,"31.763322035818074 ",35.18496173245552,"הרב פרנק 20, ירושלים",,,"בית וגן, מקלט בבית ספר"
,תורה ומדע ליד מכון לב-ישיבה תיכונית,הועד הלאומי 21,,,על יסודי,,,31.76505588,35.19012265,"הועד הלאומי 21, ירושלים",,,"בית וגן, מקלט בבית ספר"
,בית ספר טל ישראל,הרב חיים מיכל מיכלין 21,,,על יסודי,,,31.7633298667962,35.18898812292906,"הרב חיים מיכל מיכלין 21, ירושלים",,,"בית וגן, מקלט בבית ספר"
,"קול תורה-תיכון ע""ש",הפסגה 32,,,על יסודי,,,31.767258484453954,35.183083918504785,"הפסגה 32, ירושלים",,,"בית וגן, מקלט בבית ספר"
,בית ספר בויאר,"תורה ועבודה 1, ירושלים",,,על יסודי,,,31.765867439035805,35.1803612576717,"תורה ועבודה 1, ירושלים",,,"בית וגן, מקלט בבית ספר"
,בית ספר אלפא מעורב,אל עקבה 2,,,יסודי,,,31.84112123142226,35.220125454786285,"אל עקבה 2, ירושלים",,,"בית חנינא, מקלט בבית ספר"
,אבן חלדון לבנים מקיף,אל מרכז 12,,,על יסודי,,,31.820652870995982,35.230205754601336,"אל מרכז 12, ירושלים",,,"בית חנינא, מקלט בבית ספר"
,בית ספר אלקמה,דרך בית חנינא 1,,,על יסודי,,,31.827654471202422,35.22743626695003,"דרך בית חנינא 1, ירושלים",,,"בית חנינא, מקלט בבית ספר"
,"חט""ב סילואן בנים",ראס אל עמוד 23,,,על יסודי,,,"31.83420489394228 ",35.22888966313887,"אל עבאס 23, ירושלים",,,"בית חנינא, מקלט בבית ספר"
,מקיף בית חנינא בנות,אסאקקיני כליל 1,,,על יסודי,,,31.831059223219714,35.224973896236534,"אסאקקיני כליל 1, ירושלים",,,"בית חנינא, מקלט בבית ספר"
,בית ספר רוואד אלקודס,דרך חיזמה 23,,,על יסודי,,,"31.82774440849201 ",35.23294136268421,"דרך חיזמה 23, ירושלים",,,"בית חנינא, מקלט בבית ספר"
,בית ספר אלחיואר יסודי,אל טואל 20,,,יסודי,,,31.742259264544046,35.19232161625113,"אל טואל 20, ירושלים",,,"בית צפאפא, מקלט בבית ספר"
,בית ספר בית צפאפא יסודי ב,אל ועד 15,,,יסודי,,,31.745964466568875,35.20314728863773,"אל ועד 15, ירושלים",,,"בית צפאפא, מקלט בבית ספר"
,מקיף בית צפאפא,אל מדרסה אל ג'דידה 24,,,על יסודי,,,31.744675908531857,35.205905587126594,"אל מדרסה אל ג'דידה 24, ירושלים",,,"בית צפאפא, מקלט בבית ספר"
,בית ספר אבן אלהיתם אל סואחרה אל גרביה מכין בנים,האמאם אבו חניפה 6,,,על יסודי,,,31.786962288542775,35.23813308784994,"האמאם אבו חניפה 6, ירושלים",,,"ג'אבל מוכבר, מקלט בבית ספר"
